fips_code,county_name,factor1_score,factor1_decile,factor1_quintile,tech_tablet,tech_smartphone,tech_desklaptop,hb_smoking,hb_alcohol,hb_active,hb_inactive,hb_fv_high,hb_fv_low,hb_obese_percent,oc_good_health,oc_poor_physicalhealth,oc_poor_mentalhealth,dem_women,dem_hispanic,dem_age,dem_veteran,food_desert,walkabilitiy,transit_distance,urban_rural,state,county_code
85629,Pima,16548.473,9,5,77.580002,93.260002,88.489998,39.799999,22.4,21.6,26.4,15.2,16.799999,29.9,50.5,12.9,12.1,52.82,37.040001,34,14.25,2,4.6808333,,2,AZ,4019
85630,Cochise,7820.3833,3,2,59.490002,82.940002,77.93,46.700001,18.799999,19.799999,29.4,14.1,16.5,30.1,47.700001,16.700001,11.9,48.970001,13.71,48,14.28,1,3.54,,3,AZ,4003
85631,Pinal,7577.0718,3,2,40.48,68.230003,59.990002,41.700001,19.799999,19.1,31.299999,13.8,19.5,31.700001,43.200001,15.9,12.5,47.84,53.389999,55,14.19,1,4.415,,2,AZ,4021
85632,Cochise,7565.9092,3,2,44.130001,71.68,71.169998,44.900002,19.799999,20.299999,29.5,13.4,18.799999,31.200001,46.200001,15.5,12,45.970001,22.85,57,5.5300002,1,4.085,,10,AZ,4003
85633,Pima,10848.641,6,3,,,,41.200001,,,29.1,,,31.5,46.099998,,,38.240002,17.65,29,5.8800001,1,5.3299999,,2,AZ,4019
85634,Pima,5711.9478,1,1,29.35,49.450001,35.169998,53.799999,20.700001,20.799999,34,14.7,25.1,36.700001,33.599998,22.700001,20.9,52.48,4.6500001,29,5.1900001,1,2.501111,,10,AZ,4019
85635,Cochise,9477.5195,5,3,61.41,82.760002,82.440002,41.700001,21.1,20.700001,28.799999,14.4,18.6,29.700001,48,14.5,13.3,52.080002,27.25,40,23.379999,0,7.5377779,,1,AZ,4003
85637,Santa Cru,14264.874,9,5,47.689999,90.339996,86.129997,45.400002,18.799999,19.5,29.700001,14.3,16.799999,31.299999,46.5,16.9,11.8,49.34,9.5699997,66,17.85,0,3.3899999,,10,AZ,4023
85638,Cochise,8024.8828,3,2,54.099998,69.639999,75.900002,46.400002,18.6,19.5,29.799999,14.1,16.799999,31,46.700001,17.1,11.9,51.240002,17.889999,62,17.879999,2,3.8659999,,10,AZ,4003
85640,Santa Cru,9749.542,5,3,30.879999,35.290001,4.4099998,44,17.9,19,31.1,14,17.9,31.6,43.700001,17.1,11.3,50.709999,68.57,71,17.139999,0,5.21,,10,AZ,4023
85641,Pima,18450.566,10,5,76.650002,92.410004,93.019997,41.099998,22.700001,21.799999,25.6,15.2,16.1,30.4,52,13.4,12.4,49.049999,18.620001,38,17.110001,0,4.1875,,2,AZ,4019
85643,Cochise,8033.7144,3,2,51.369999,71.629997,74.709999,41.700001,20.700001,20,30,13.7,19.6,31.4,45.200001,14.9,12.5,43.619999,47.419998,37,16.459999,1,5.6161537,,7,AZ,4003
85645,Pima,8089.731,3,2,35.32,65.599998,64.529999,42.200001,19.799999,20.200001,28.799999,14.5,17.1,31.200001,46.900002,15.7,11.8,54.540001,74.699997,48,9.5,1,3.9000001,,2,AZ,4019
85646,Santa Cru,12491.702,7,4,62.52,82.010002,86.809998,44.299999,17.799999,18.9,31.200001,14.1,17.799999,31.5,43.900002,17.200001,11.4,48.68,16.940001,64,15.8,0,5.46,,10,AZ,4023
85648,Santa Cru,9459.9854,5,3,59.189999,83.68,74.339996,35.700001,20.799999,19.1,32,14,21.5,33.200001,40.299999,14.6,12.5,51.970001,87.209999,33,5.3299999,0,4.9175,,4,AZ,4023
85650,Cochise,12700.883,8,4,64.599998,80.629997,83.660004,44.099998,20.1,20,29,14.3,17.299999,30.5,48,15.7,12.5,53.66,24.049999,49,33.150002,0,5.816,,1,AZ,4003
85653,Pinal,12820.294,8,4,69.349998,91.400002,85.059998,41.900002,22.6,21.1,27.299999,14.4,17.700001,30.700001,49.700001,13.9,13,49.560001,31.860001,36,11.5,0,4.4699998,1121.1801,2,AZ,4021
85658,Pima,16461.24,9,5,76.660004,86.419998,94.300003,45.400002,19.700001,20.200001,28,14.5,16.1,30.799999,48.799999,15.8,11.9,54.18,11.02,61,16.139999,0,5.0425,,1,AZ,4019
85701,Pima,8414.9668,3,2,53.959999,88.360001,82.510002,40.099998,21.4,19.9,30.799999,13.5,21.5,31.299999,42.599998,14.8,14.3,46.369999,38.23,35,4.23,2,17.319092,246.03455,1,AZ,4019
85704,Pima,11451.683,6,3,63.18,83.550003,84.959999,37.799999,20,23.299999,24.700001,16.299999,14.3,26.6,53.599998,13,10.5,52.040001,18.889999,45,10.46,0,9.5279169,739.81,1,AZ,4019
85705,Pima,5689.4614,1,1,45.639999,79.709999,65.279999,36.799999,22.4,22.6,27.1,14.7,19.1,29,48.700001,12.9,13.4,50.939999,49.169998,35,7.71,2,14.432341,421.11234,1,AZ,4019
85706,Pima,7275.4077,2,1,50.009998,86.550003,63.740002,36.099998,21.1,18.5,33.299999,13.2,23.9,32.900002,37.799999,14.9,14.3,51.5,85.57,28,3.71,2,12.601613,438.89194,1,AZ,4019
